       68	2023-11-13 06:52:10	1	0	16	0
        5	2023-11-13 06:52:26	1	0	16	0
        6	2023-11-13 06:52:52	1	0	16	0
        8	2023-11-13 06:58:18	1	0	16	0
       72	2023-11-13 06:58:55	1	0	16	0
       34	2023-11-13 07:01:26	1	0	16	0
       29	2023-11-13 07:01:32	1	0	16	0
       64	2023-11-13 07:01:54	1	0	16	0
       21	2023-11-13 07:03:58	1	0	16	0
       20	2023-11-13 07:04:29	1	0	16	0
       50	2023-11-13 08:05:32	1	0	16	0
       57	2023-11-13 08:05:38	1	0	16	0
        3	2023-11-13 09:02:55	1	0	16	0
       25	2023-11-13 09:40:38	1	0	16	0
       76	2023-11-13 09:40:49	1	0	16	0
       47	2023-11-13 09:48:20	1	0	16	0
       62	2023-11-13 09:51:37	1	0	16	0
        2	2023-11-13 09:58:38	1	0	16	0
       69	2023-11-13 10:03:48	1	0	16	0
       19	2023-11-13 10:03:51	1	0	16	0
        8	2023-11-13 12:38:19	1	0	16	0
       76	2023-11-13 12:57:19	1	0	16	0
        8	2023-11-13 13:28:06	1	0	16	0
       12	2023-11-13 13:36:14	1	0	16	0
       57	2023-11-13 13:42:04	1	0	16	0
       44	2023-11-13 13:45:05	1	0	16	0
       10	2023-11-13 13:49:49	1	0	16	0
       18	2023-11-13 13:51:39	1	0	16	0
       11	2023-11-13 13:58:40	1	0	16	0
       13	2023-11-13 13:59:20	1	0	16	0
       73	2023-11-13 14:00:07	1	0	16	0
       38	2023-11-13 14:00:36	1	0	16	0
       55	2023-11-13 14:02:00	1	0	16	0
       14	2023-11-13 14:02:48	1	0	16	0
       57	2023-11-13 14:03:08	1	0	16	0
       76	2023-11-13 14:03:56	1	0	16	0
       28	2023-11-13 14:04:46	1	0	16	0
       32	2023-11-13 14:06:52	1	0	16	0
       21	2023-11-13 14:17:41	1	0	16	0
       29	2023-11-13 14:29:23	1	0	16	0
       34	2023-11-13 14:29:31	1	0	16	0
        2	2023-11-13 14:29:36	1	0	16	0
       20	2023-11-13 14:43:04	1	0	16	0
       19	2023-11-13 14:43:09	1	0	16	0
        7	2023-11-13 14:49:03	1	0	16	0
       27	2023-11-13 14:55:41	1	0	16	0
       67	2023-11-13 14:59:13	1	0	16	0
        6	2023-11-13 15:00:34	1	0	16	0
        5	2023-11-13 15:00:59	1	0	16	0
       74	2023-11-13 15:05:18	1	0	16	0
       64	2023-11-13 15:13:23	1	0	16	0
       72	2023-11-13 15:19:13	1	0	16	0
       25	2023-11-13 15:19:18	1	0	16	0
        2	2023-11-13 15:25:54	1	0	16	0
       34	2023-11-13 15:25:59	1	0	16	0
       29	2023-11-13 15:26:12	1	0	16	0
       21	2023-11-13 15:27:18	1	0	16	0
       47	2023-11-13 15:37:03	1	0	16	0
        6	2023-11-13 15:54:22	1	0	16	0
       19	2023-11-13 15:54:48	1	0	16	0
       20	2023-11-13 15:54:56	1	0	16	0
       68	2023-11-13 15:56:12	1	0	16	0
